Model,Flow,"('DRAM Energy Cost (nJ)', 'Proposed', 'T=4')","('DRAM Energy Cost (nJ)', 'Proposed', 'T=8')","('DRAM Energy Cost (nJ)', 'Proposed', 'T=16')","('DRAM Energy Cost (nJ)', 'Proposed', 'T=32')","('DRAM Energy Cost (nJ)', 'Flash', 'T=4')","('DRAM Energy Cost (nJ)', 'Flash', 'T=8')","('DRAM Energy Cost (nJ)', 'Flash', 'T=16')","('DRAM Energy Cost (nJ)', 'Flash', 'T=32')","('MAC Energy Cost (nJ)', 'Proposed', 'T=4')","('MAC Energy Cost (nJ)', 'Proposed', 'T=8')","('MAC Energy Cost (nJ)', 'Proposed', 'T=16')","('MAC Energy Cost (nJ)', 'Proposed', 'T=32')","('MAC Energy Cost (nJ)', 'Flash', 'T=4')","('MAC Energy Cost (nJ)', 'Flash', 'T=8')","('MAC Energy Cost (nJ)', 'Flash', 'T=16')","('MAC Energy Cost (nJ)', 'Flash', 'T=32')"
Bert,FWD,2201171,1127429,590558,322123,889246,459749,245001,137627,82415,72008,66985,64518,74892,68247,63578,65927
Bert,BWD,4325166,2177683,1103941,567070,2632345,1333789,684510,359871,147353,135759,129962,127064,178507,166913,158217,225567
Bert,Total,6526337,3305112,1694499,889192,3521591,1793538,929511,497498,229787,207775,196949,191582,253366,235122,221756,291382
GPT-2,FWD,8804683,4509716,2362232,1288490,3550166,1832179,973186,543689,329659,288031,267938,258074,299580,272989,254311,260408
GPT-2,BWD,17293954,8704020,4409052,2261569,10512604,5318377,2721264,1422708,589345,542972,519786,508192,713957,667591,632806,644398
GPT-2,Total,26098637,13213735,6771284,3550059,14062770,7150557,3694450,1966397,919080,831034,787736,766266,1013394,940424,886963,904661
LLaMA2,FWD,69578470,35218732,18038863,9448928,27944339,14200444,7328496,3892522,2627658,2295589,2135329,2056644,2384226,2173806,2026082,2074363
LLaMA2,BWD,137895294,69175817,34816079,17636209,83282100,41889353,21192979,10844792,4706766,4335799,4150304,4057568,5699814,5328663,5050639,5143352
LLaMA2,Total,207473764,104394549,52854941,27085138,111226439,56089797,28521475,14737315,7334999,6631613,6285716,6114205,8082752,7501427,7075559,7216549
Mistral 7B,FWD,278313881,140874927,72155451,37795712,111723253,56747671,29259881,15515985,10510609,9182359,8541326,8226571,9536283,8695495,8103705,8297066
Mistral 7B,BWD,551527488,276649581,139210627,70491151,332994183,167423194,84637699,43244952,18826512,17342667,16600733,16229766,22799003,21316492,20206098,20576697
Mistral 7B,Total,829841369,417524508,211366078,108286863,444717436,224170865,113897580,58760937,29339490,26525900,25142220,24456360,32330410,30005110,28301960,28865690
Phi-3 Mini,FWD,52398601,26628797,13743895,7301444,21065680,10757759,5603798,3026818,1973147,1723857,1603544,1544468,1791171,1632811,1521604,1558025
Phi-3 Mini,BWD,103528844,51989237,26219433,13334531,62649480,31564654,16022241,8251035,3531995,3253787,3114660,3045108,4277747,3999539,3790837,3860435
Phi-3 Mini,Total,155927446,78618034,39963329,20635976,83715160,42322413,21626039,11277853,5505602,4977821,4718266,4589581,6068090,5631481,5311643,5417535
