Model,Flow,"('DRAM Energy Cost (pJ)', 'Proposed', 'T=4')","('DRAM Energy Cost (pJ)', 'Proposed', 'T=8')","('DRAM Energy Cost (pJ)', 'Proposed', 'T=16')","('DRAM Energy Cost (pJ)', 'Proposed', 'T=32')","('DRAM Energy Cost (pJ)', 'Flash', 'T=4')","('DRAM Energy Cost (pJ)', 'Flash', 'T=8')","('DRAM Energy Cost (pJ)', 'Flash', 'T=16')","('DRAM Energy Cost (pJ)', 'Flash', 'T=32')","('MAC Energy Cost (pJ)', 'Proposed', 'T=4')","('MAC Energy Cost (pJ)', 'Proposed', 'T=8')","('MAC Energy Cost (pJ)', 'Proposed', 'T=16')","('MAC Energy Cost (pJ)', 'Proposed', 'T=32')","('MAC Energy Cost (pJ)', 'Flash', 'T=4')","('MAC Energy Cost (pJ)', 'Flash', 'T=8')","('MAC Energy Cost (pJ)', 'Flash', 'T=16')","('MAC Energy Cost (pJ)', 'Flash', 'T=32')"
Bert,FWD,2201170.739,1127428.915,590558.003,322122.547,889246.135,459749.405,245001.041,137626.858,82601.574,72170.865,67136.389,64664.371,75064.934,68402.545,66081.260,63722.291
Bert,BWD,4325166.285,2177682.637,1103940.813,567069.901,2632345.190,1333788.672,684510.413,359871.283,147149.128,135570.964,129781.883,126887.342,178260.378,166682.214,225255.096,157998.592
Bert,Total,6526337.024,3305111.552,1694498.816,889192.448,3521591.325,1793538.077,929511.453,497498.141,229750.702,207741.829,196918.272,191551.713,253325.312,235084.759,291336.356,221720.883
GPT-2,FWD,8804682.957,4509715.661,2362232.013,1288490.189,3550166.280,1832179.361,973185.902,543689.173,330406.298,288683.459,268545.556,258657.485,300259.738,273610.179,261008.916,254889.165
GPT-2,BWD,17293954.253,8704019.661,4409052.365,2261568.717,10512603.546,5318377.472,2721264.435,1422707.917,588528.681,542219.796,519065.354,507488.133,712973.681,666664.796,643510.354,631933.133
GPT-2,Total,26098637.210,13213735.322,6771284.378,3550058.906,14062769.825,7150556.833,3694450.337,1966397.089,918934.979,830903.255,787610.911,766145.618,1013233.418,940274.975,904519.270,886822.298
LLaMA2,FWD,69578470.195,35218731.827,18038862.643,9448928.051,27944339.007,14200443.660,7328495.986,3892522.149,2633603.482,2300785.459,2140164.588,2061301.187,2389536.932,2178752.184,2079147.950,2030792.868
LLaMA2,BWD,137895293.747,69175817.011,34816078.643,17636209.459,83282100.224,41889352.909,21192979.251,10844792.422,4700240.609,4329784.607,4144556.605,4051942.605,5691941.847,5321485.844,5136257.843,5043643.843
LLaMA2,Total,207473763.942,104394548.838,52854941.286,27085137.510,111226439.231,56089796.569,28521475.237,14737314.572,7333844.091,6630570.066,6284721.193,6113243.791,8081478.779,7500238.029,7215405.793,7074436.710
Mistral_7B,FWD,278313880.781,140874927.309,72155450.573,37795712.205,111723252.862,56747671.473,29259880.779,15515985.432,10534413.926,9203141.837,8560658.350,8245204.746,9558147.727,8715008.737,8316591.800,8123171.471
Mistral_7B,BWD,551527487.898,276649580.954,139210627.482,70491150.746,332994183.168,167423193.907,84637699.277,43244951.962,18800419.799,17318625.935,16577729.004,16207280.538,22767224.750,21285430.886,20544533.955,20174085.489
Mistral_7B,Total,829841368.678,417524508.262,211366078.054,108286862.950,444717436.030,224170865.381,113897580.056,58760937.393,29334833.725,26521767.772,25138387.354,24452485.284,32325372.477,30000439.624,28861125.755,28297256.960
Phi-3_Mini,FWD,52398601.011,26628797.235,13743895.347,7301444.403,21065680.447,10757758.937,5603798.181,3026817.804,1977614.336,1727759.647,1607173.407,1547965.563,1795287.941,1636596.449,1561591.808,1525174.764
Phi-3_Mini,BWD,103528844.493,51989236.941,26219433.165,13334531.277,62649479.987,31564654.182,16022241.280,8251034.829,3527109.837,3249267.835,3110346.834,3040886.333,4271850.455,3994008.453,3855087.452,3785626.952
Phi-3_Mini,Total,155927445.504,78618034.176,39963328.512,20635975.680,83715160.434,42322413.119,21626039.461,11277852.633,5504724.173,4977027.482,4717520.241,4588851.896,6067138.396,5630604.902,5416679.260,5310801.715
